s_number,date,site,area,site_type,type_of_visitor,number_of_visitors,note
73,2009-05-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,173,
74,2009-06-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,103,
75,2009-07-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,216,
76,2009-08-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,189,
77,2009-09-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,106,
78,2009-10-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,231,
79,2009-11-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,138,
80,2009-12-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,124,
81,2010-01-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,162,
82,2010-02-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,166,
83,2010-03-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,200,
84,2010-04-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,120,
85,2010-05-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,148,
86,2010-06-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,116,
87,2010-07-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,173,
88,2010-08-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,148,
89,2010-09-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,107,
90,2010-10-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,170,
91,2010-11-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,161,
92,2010-12-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,154,
93,2011-01-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,154,
94,2011-02-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,169,
95,2011-03-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,208,
96,2011-04-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,243,
97,2011-05-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,85,
98,2011-06-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,88,
99,2011-07-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,198,
100,2011-08-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,130,
101,2011-09-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,140,
102,2011-10-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,142,
103,2011-11-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,190,
104,2011-12-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,197,
105,2012-01-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,170,
106,2012-02-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,223,
107,2012-03-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,215,
108,2012-04-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,307,
109,2012-05-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,87,
110,2012-06-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,119,
111,2012-07-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,139,
112,2012-08-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,112,
113,2012-09-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,195,
114,2012-10-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,181,
115,2012-11-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,123,
116,2012-12-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,168,
117,2013-01-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,171,
118,2013-02-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,184,
119,2013-03-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,268,
120,2013-04-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,275,
121,2013-05-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,131,
122,2013-06-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,154,
123,2013-07-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,209,
124,2013-08-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,231,
125,2013-09-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,253,
126,2013-10-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,226,
127,2013-11-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,292,
128,2013-12-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,183,
129,2014-01-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,257,
130,2014-02-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,187,
131,2014-03-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,293,
132,2014-04-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,307,
133,2014-05-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,192,
134,2014-06-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,221,
135,2014-07-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,105,
136,2014-08-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,154,
137,2009-01-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,308,
138,2009-02-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,357,
139,2009-03-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,430,
140,2009-04-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,650,
141,2009-05-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,440,
142,2009-06-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,400,
