s_number,date,site,area,site_type,type_of_visitor,number_of_visitors,note
834,2010-06-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1217,
835,2010-07-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1824,
836,2010-08-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,478,
837,2010-09-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,734,
838,2010-10-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1479,
839,2010-11-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1666,
840,2010-12-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1968,
841,2011-01-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1562,
842,2011-02-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1951,
843,2011-03-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1550,
844,2011-04-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1692,
845,2011-05-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,2141,
846,2011-06-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1385,
847,2011-07-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1177,
848,2011-08-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,421,
849,2011-09-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,985,
850,2011-10-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,3149,
851,2011-11-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,4897,
852,2011-12-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,730,
853,2012-01-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,2139,
854,2012-02-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,3117,
855,2012-03-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,2087,
856,2012-04-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,880,
857,2012-05-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,2545,
858,2012-06-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,3050,
859,2012-07-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1417,
860,2012-08-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,723,
861,2012-09-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1380,
862,2012-10-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1374,
863,2012-11-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,933,
864,2012-12-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1563,
865,2013-01-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1672,
866,2013-02-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,2342,
867,2013-03-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,788,
868,2013-04-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,4663,
869,2013-05-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1133,
870,2013-06-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1695,
871,2013-07-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1831,
872,2013-08-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1370,
873,2013-09-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1706,
874,2013-10-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1116,
875,2013-11-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,2231,
876,2013-12-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,3977,
877,2014-01-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1300,
878,2014-02-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,2092,
879,2014-03-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,7758,
880,2014-04-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,2765,
881,2014-05-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,8255,
882,2014-06-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,3940,
883,2014-07-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,2199,
884,2014-08-01,"National Museum of Pakistan, Karachi",Sindh,Museum,National,1403,
885,2009-01-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,59,
886,2009-02-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,53,
887,2009-03-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,44,
888,2009-04-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,24,
889,2009-05-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,21,
890,2009-06-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,16,
891,2009-07-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,23,
892,2009-08-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,18,
893,2009-09-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,25,
894,2009-10-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,26,
895,2009-11-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,19,
896,2009-12-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,20,
897,2010-01-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,15,
898,2010-02-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,41,
899,2010-03-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,32,
900,2010-04-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,325,
901,2010-05-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,29,
902,2010-06-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,15,
903,2010-07-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,30,
904,2010-08-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,5,
905,2010-09-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,6,
906,2010-10-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,26,
907,2010-11-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,18,
908,2010-12-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,37,
909,2011-01-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,42,
910,2011-02-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,11,
911,2011-03-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,57,
912,2011-04-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,20,
913,2011-05-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,19,
914,2011-06-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,19,
915,2011-07-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,17,
916,2011-08-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,11,
917,2011-09-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,6,
918,2011-10-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,20,
919,2011-11-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,30,
920,2011-12-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,16,
921,2012-01-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,38,
922,2012-02-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,65,
923,2012-03-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,46,
924,2012-04-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,21,
925,2012-05-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,13,
926,2012-06-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,16,
927,2012-07-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,27,
928,2012-08-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,17,
929,2012-09-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,7,
930,2012-10-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,39,
931,2012-11-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,29,
932,2012-12-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,35,
933,2013-01-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,30,
934,2013-02-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,30,
935,2013-03-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,19,
936,2013-04-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,2,
937,2013-05-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,15,
938,2013-06-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,0,
939,2013-07-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,54,
940,2013-08-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,18,
941,2013-09-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,9,
942,2013-10-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,23,
943,2013-11-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,17,
944,2013-12-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,36,
945,2014-01-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,15,
946,2014-02-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,22,
947,2014-03-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,30,
948,2014-04-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,10,
949,2014-05-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,15,
950,2014-06-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,0,
951,2014-07-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,0,
952,2014-08-01,"National Museum of Pakistan, Karachi",Sindh,Museum,Foreigner,13,
953,2009-01-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,4791,
954,2009-02-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,5832,
955,2009-03-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,3901,
956,2009-04-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2652,
957,2009-05-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,1674,
958,2009-06-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,1840,
959,2009-07-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2939,
960,2009-08-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2446,
961,2009-09-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,5263,
962,2009-10-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2429,
963,2009-11-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2302,
964,2009-12-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,3189,
965,2010-01-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2970,
966,2010-02-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,3644,
967,2010-03-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2744,
968,2010-04-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2887,
969,2010-05-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2911,
970,2010-06-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,3440,
971,2010-07-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,4448,
972,2010-08-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,1454,
973,2010-09-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2538,
974,2010-10-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,3055,
975,2010-11-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,3481,
976,2010-12-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,3443,
977,2011-01-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,3569,
978,2011-02-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,3233,
979,2011-03-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,4317,
980,2011-04-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2977,
981,2011-05-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2231,
982,2011-06-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,3781,
983,2011-07-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,5492,
984,2011-08-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,595,
985,2011-09-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,699,
986,2011-10-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2629,
987,2011-11-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,1582,
988,2011-12-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,1026,
989,2012-01-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,3550,
990,2012-02-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2362,
991,2012-03-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,4309,
992,2012-04-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2974,
993,2012-05-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2050,
994,2012-06-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2630,
995,2012-07-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,3605,
996,2012-08-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,3945,
997,2012-09-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,3453,
998,2012-10-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2600,
999,2012-11-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2830,
1000,2012-12-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2545,
1001,2013-01-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2715,
1002,2013-02-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2366,
1003,2013-03-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,3115,
1004,2013-04-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2654,
1005,2013-05-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2712,
1006,2013-06-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2396,
1007,2013-07-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2669,
1008,2013-08-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2958,
1009,2013-09-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2748,
1010,2013-10-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2554,
1011,2013-11-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2856,
1012,2013-12-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2607,
1013,2014-01-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2915,
1014,2014-02-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2850,
1015,2014-03-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2610,
1016,2014-04-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2960,
1017,2014-05-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2943,
1018,2014-06-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2640,
1019,2014-07-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2821,
1020,2014-08-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,National,2249,
1021,2009-01-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1022,2009-02-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1023,2009-03-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1024,2009-04-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1025,2009-05-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1026,2009-06-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1027,2009-07-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1028,2009-08-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1029,2009-09-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1030,2009-10-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,2,
1031,2009-11-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1032,2009-12-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1033,2010-01-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1034,2010-02-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1035,2010-03-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1036,2010-04-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1037,2010-05-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1038,2010-06-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1039,2010-07-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1040,2010-08-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1041,2010-09-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1042,2010-10-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1043,2010-11-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1044,2010-12-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1045,2011-01-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1046,2011-02-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1047,2011-03-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1048,2011-04-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1049,2011-05-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1050,2011-06-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1051,2011-07-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1052,2011-08-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1053,2011-09-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1054,2011-10-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1055,2011-11-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1056,2011-12-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1057,2012-01-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1058,2012-02-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1059,2012-03-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1060,2012-04-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1061,2012-05-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1062,2012-06-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1063,2012-07-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1064,2012-08-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1065,2012-09-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1066,2012-10-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1067,2012-11-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1068,2012-12-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1069,2013-01-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1070,2013-02-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1071,2013-03-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,0,
1072,2013-04-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,5,
1073,2013-05-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,2,
1074,2013-06-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,3,
1075,2013-07-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,14,
1076,2013-08-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,22,
1077,2013-09-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,18,
1078,2013-10-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,13,
1079,2013-11-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,24,
1080,2013-12-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,13,
1081,2014-01-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,26,
1082,2014-02-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,30,
1083,2014-03-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,22,
1084,2014-04-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,25,
1085,2014-05-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,48,
1086,2014-06-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,25,
1087,2014-07-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,19,
1088,2014-08-01,"Sindh Provincial Museum, Hyderabad",Sindh,Museum,Foreigner,21,
1089,2009-01-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1223,
1090,2009-02-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1375,
1091,2009-03-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1530,
1092,2009-04-01,"Banbhore Museum, Thatta",Sindh,Museum,National,970,
1093,2009-05-01,"Banbhore Museum, Thatta",Sindh,Museum,National,836,
1094,2009-06-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1217,
1095,2009-07-01,"Banbhore Museum, Thatta",Sindh,Museum,National,2130,
1096,2009-08-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1923,
1097,2009-09-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1521,
1098,2009-10-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1277,
1099,2009-11-01,"Banbhore Museum, Thatta",Sindh,Museum,National,290,
1100,2009-12-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1519,
1101,2010-01-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1096,
1102,2010-02-01,"Banbhore Museum, Thatta",Sindh,Museum,National,883,
1103,2010-03-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1189,
1104,2010-04-01,"Banbhore Museum, Thatta",Sindh,Museum,National,640,
1105,2010-05-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1125,
1106,2010-06-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1047,
1107,2010-07-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1966,
1108,2010-08-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1491,
1109,2010-09-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1057,
1110,2010-10-01,"Banbhore Museum, Thatta",Sindh,Museum,National,583,
1111,2010-11-01,"Banbhore Museum, Thatta",Sindh,Museum,National,503,
1112,2010-12-01,"Banbhore Museum, Thatta",Sindh,Museum,National,823,
1113,2011-01-01,"Banbhore Museum, Thatta",Sindh,Museum,National,955,
1114,2011-02-01,"Banbhore Museum, Thatta",Sindh,Museum,National,842,
1115,2011-03-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1245,
1116,2011-04-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1312,
1117,2011-05-01,"Banbhore Museum, Thatta",Sindh,Museum,National,812,
1118,2011-06-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1242,
1119,2011-07-01,"Banbhore Museum, Thatta",Sindh,Museum,National,914,
1120,2011-08-01,"Banbhore Museum, Thatta",Sindh,Museum,National,695,
1121,2011-09-01,"Banbhore Museum, Thatta",Sindh,Museum,National,714,
1122,2011-10-01,"Banbhore Museum, Thatta",Sindh,Museum,National,631,
1123,2011-11-01,"Banbhore Museum, Thatta",Sindh,Museum,National,816,
1124,2011-12-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1112,
1125,2012-01-01,"Banbhore Museum, Thatta",Sindh,Museum,National,890,
1126,2012-02-01,"Banbhore Museum, Thatta",Sindh,Museum,National,977,
1127,2012-03-01,"Banbhore Museum, Thatta",Sindh,Museum,National,6055,
1128,2012-04-01,"Banbhore Museum, Thatta",Sindh,Museum,National,745,
1129,2012-05-01,"Banbhore Museum, Thatta",Sindh,Museum,National,844,
1130,2012-06-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1131,
1131,2012-07-01,"Banbhore Museum, Thatta",Sindh,Museum,National,535,
1132,2012-08-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1322,
1133,2012-09-01,"Banbhore Museum, Thatta",Sindh,Museum,National,940,
1134,2012-10-01,"Banbhore Museum, Thatta",Sindh,Museum,National,714,
1135,2012-11-01,"Banbhore Museum, Thatta",Sindh,Museum,National,541,
1136,2012-12-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1120,
1137,2013-01-01,"Banbhore Museum, Thatta",Sindh,Museum,National,982,
1138,2013-02-01,"Banbhore Museum, Thatta",Sindh,Museum,National,634,
1139,2013-03-01,"Banbhore Museum, Thatta",Sindh,Museum,National,605,
1140,2013-04-01,"Banbhore Museum, Thatta",Sindh,Museum,National,501,
1141,2013-05-01,"Banbhore Museum, Thatta",Sindh,Museum,National,513,
1142,2013-06-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1211,
1143,2013-07-01,"Banbhore Museum, Thatta",Sindh,Museum,National,535,
1144,2013-08-01,"Banbhore Museum, Thatta",Sindh,Museum,National,1235,
1145,2013-09-01,"Banbhore Museum, Thatta",Sindh,Museum,National,719,
1146,2013-10-01,"Banbhore Museum, Thatta",Sindh,Museum,National,579,
1147,2013-11-01,"Banbhore Museum, Thatta",Sindh,Museum,National,441,
1148,2013-12-01,"Banbhore Museum, Thatta",Sindh,Museum,National,371,
1149,2014-01-01,"Banbhore Museum, Thatta",Sindh,Museum,National,640,
1150,2014-02-01,"Banbhore Museum, Thatta",Sindh,Museum,National,510,
1151,2014-03-01,"Banbhore Museum, Thatta",Sindh,Museum,National,579,
1152,2014-04-01,"Banbhore Museum, Thatta",Sindh,Museum,National,345,
1153,2014-05-01,"Banbhore Museum, Thatta",Sindh,Museum,National,397,
1154,2014-06-01,"Banbhore Museum, Thatta",Sindh,Museum,National,489,
