district,injured,dead,houses_damaged,schools_damaged
Shangla,94,49,550,
Chitral,200,32,1486,
Swat,196,34,2203,
Dir Lower,248,23,2387,
Dir Upper,157,16,560,45
Tor Ghar,18,15,70,
Kohistan Upper,,11,,
Buner,98,9,400,
Peshawar,165,4,,
Charsadda ,1,3,,
Mardan,101,3,,
Nowshera,14,2,,
Malakand,78,2,792,
Swabi,19,2,,
Kohistan Lower,3,1,,
Mansehra,4,1,,
Hangu, ,1,,
Tank,,,5,53
Abbottabad,85,,,
Battagram,15,,,
Kohat,21,,,
Bannu,1,,,15
